City,Area,Population,Government,Food,Feature
基隆市,北部,36萬,中正區,廟口鼎邊趖、營養三明治、天婦羅,漫步和平島奇岩海岸，打卡繽紛正濱漁港，夜奔廟口夜市大啖鼎邊趖。最濃郁的潮風港都，保證回味無窮。
臺北市,北部,243萬,信義區,牛肉麵、小籠包、胡椒餅,登上台北101俯瞰繁華，漫步西門町與故宮，入夜用士林夜市小吃滿足味蕾。現代與經典在此完美交融。
新北市,北部,404萬,板橋區,淡水阿給、九份芋圓、深坑臭豆腐,走入九份的千與千尋世界，點一盞平溪天燈，再到淡水看日落。依山傍海的無盡浪漫，等你來收藏。
桃園市,北部,266萬,桃園區,大溪豆乾、龍岡米干、石門活魚,漫步拉拉山神木群，探訪大溪老街風情，或在青埔享受現代娛樂。這是臺灣充滿驚喜的國門第一站。
新竹市,北部,46萬,北區,新竹貢丸、米粉、水潤餅,新竹公園櫻花如詩，城隍廟口小吃飄香。兼具百年風城的人文底蘊與科技城的現代節奏，展現獨特反差美。
新竹縣,北部,60萬,竹北市,新埔柿餅、客家粄條、野薑花粽,深入內灣老街領略客家風情，走進司馬庫斯探訪上帝的部落。這裡有最純淨的山林與熱情的原民文化。
苗栗縣,中部,53萬,苗栗市,客家小炒、江記舊山線大餛飩、水晶餃,體驗三義舊山線鐵道自行車的刺激，漫步南庄客家老街。山城苗栗擁有全臺頂級的慢城生活與油桐花景。
臺中市,中部,287萬,西屯區,太陽餅、大甲芋頭酥、清水排骨酥麵,高美濕地的絕美夕陽、國家歌劇院的建築美學、逢甲夜市的創新美食。這是一座文藝與悠閒並存的時尚之都。
彰化縣,中部,121萬,彰化市,彰化肉圓、爌肉飯、鹿港牛舌餅,瞻仰八卦山大佛的莊嚴，探訪鹿港古鎮的摸乳巷與百年廟宇。別忘了來一碗肉圓，品味最地道的老臺灣。
南投縣,中部,48萬,南投市,埔里紹興肉圓、意麵、微熱山丘鳳梨酥,騎單車環繞絕美日月潭，清境農場數綿羊，清晨登上合歡山看日出。臺灣唯一不靠海的縣，卻美得最窒息。
雲林縣,中部,65萬,斗六市,北港鴨肉飯、西螺當歸鴨、古坑咖啡,北港朝天宮香火鼎盛，西螺大橋夕陽如畫。走一趟古坑品嚐臺灣在地咖啡，體驗最純樸的農業首都魅力。
嘉義市,南部,26萬,東區,正宗火雞肉飯、粿仔湯,走訪嘉義市立美術館的文青美學，品嚐全臺正宗的噴水火雞肉飯。這是阿里山腳下，最精緻溫馨的小城。
嘉義縣,南部,47萬,太保市,奮起湖鐵路便當、民雄鵝肉、新港鴨肉羹,搭乘阿里山小火車穿梭神木與雲海，觀賞一生必看的日出與森林。茶園與山巒交織出最動人的自然樂章。
臺南市,南部,185萬,安平區/新營區,清燙牛肉湯、鱔魚意麵、溫體豬肉粽,臺灣的歷史起點！穿梭安平古堡與神農街，品嚐牛肉湯與鱔魚意麵。用慢節奏體驗最道地的古都地頭味。
高雄市,南部,271萬,苓雅區/鳳山區,岡山羊肉爐、美濃板條、旗津海產,駁二藝術特區的潮流活力、旗津海風的鮮甜海產、愛河灣的璀璨夜景。感受這座暖陽海港城市的熱情魅力。
屏東縣,南部,78萬,屏東市,萬巒豬腳、東港黑鮪魚、潮州燒冷冰,奔向墾丁的碧海藍天與白沙灘，探索小琉球與綠蠵龜共游。臺灣最南端的國境之南，永遠夏天、永遠熱血。
宜蘭縣,東部,45萬,宜蘭市,三星蔥油餅、鴨賞、西魯肉,礁溪溫泉洗去疲憊，羅東夜市饕客必訪，還能出海繞賞龜山島。這是台北後花園，最療癒的慢活鄉野。
花蓮縣,東部,32萬,花蓮市,炸彈蔥油餅、公正包子、剝皮辣椒雞湯,太魯閣燕子口的鬼斧神工、七星潭的礫石浪濤、六十石山的金針花海。這裡大山大水，是洗滌心靈的聖地。
臺東縣,東部,21萬,台東市,卑南豬血湯、東河包子、池上便當,鹿野高台熱氣球翱翔天際，伯朗大道單車漫遊。依山奉海的太平洋左岸，帶你找回生命中最純粹的感動。
澎湖縣,離島,11萬,馬公市,仙人掌冰、小管麵線、黑糖糕,雙心石滬的浪漫傳說、玄武岩的壯麗奇景。夏天參加花火節，冬天品嚐鮮美海鮮，海島度假首選澎湖。
金門縣,離島,14萬,金城鎮,金門廣東粥、牛肉乾、貢糖,穿梭閩南古厝與軍事坑道，尋找防風鎮煞的風獅爺。品嚐一口高粱酒，體驗時間凝結的戰地風情。
連江縣(馬祖),離島,1.4萬,南竿鄉,馬祖老酒麵線、紅糟肉、繼光餅,追尋黑夜中夢幻的藍眼淚，漫步芹壁聚落的芹壁地中海石屋。閩東文化與戰地遺跡，交織出最神祕的島嶼。
